 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1,255,0,255,255,255,603.500,8.500,603.500,8.500,2.828,603,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,603,8,135.000,1.000,1.000,1.000,1.000
2,1,255,0,255,255,255,611.500,8.500,611.500,8.500,2.828,611,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,611,8,135.000,1.000,1.000,1.000,1.000
3,1,255,0,255,255,255,988.500,149.500,988.500,149.500,2.828,988,149,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,988,149,135.000,1.000,1.000,1.000,1.000
4,49,255,0,255,255,255,702.745,154.541,702.745,154.541,25.799,699,150,8,9,8.469,7.367,67.455,0.925,9.220,12495,255,NaN,NaN,100,12495,1,699,157,40.601,7.906,1.150,0.870,0.852
5,1,255,0,255,255,255,798.500,184.500,798.500,184.500,2.828,798,184,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,798,184,135.000,1.000,1.000,1.000,1.000
6,1,255,0,255,255,255,801.500,186.500,801.500,186.500,2.828,801,186,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,801,186,135.000,1.000,1.000,1.000,1.000
7,2,255,0,255,255,255,709.000,233.500,709.000,233.500,4.243,708,233,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100,510,1,708,233,153.435,1.000,2.000,0.500,1.000
8,1,255,0,255,255,255,712.500,235.500,712.500,235.500,2.828,712,235,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,712,235,135.000,1.000,1.000,1.000,1.000
9,3,255,0,255,255,255,74.833,298.833,74.833,298.833,5.657,74,298,2,2,2.365,1.615,45.000,1.000,2.828,765,255,NaN,NaN,100,765,1,74,300,45.000,2.000,1.464,0.683,0.857
10,2,255,0,255,255,255,77.500,301.000,77.500,301.000,4.828,77,300,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100,510,1,77,300,116.565,1.000,2.000,0.500,1.000
11,1,255,0,255,255,255,781.500,306.500,781.500,306.500,2.828,781,306,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,781,306,135.000,1.000,1.000,1.000,1.000
12,18,255,0,255,255,255,728.167,336.444,728.167,336.444,16.728,726,333,4,6,5.546,4.132,85.528,0.808,6.708,4590,255,NaN,NaN,100,4590,1,727,339,63.435,4.000,1.342,0.745,0.857
13,6,255,0,255,255,255,439.167,356.167,439.167,356.167,9.071,438,355,3,3,3.489,2.190,45.000,0.916,4.243,1530,255,NaN,NaN,100,1530,1,438,358,45.000,2.828,1.593,0.628,0.857
14,30,255,0,255,255,255,803.367,372.433,803.367,372.433,20.142,800,369,6,7,6.400,5.968,71.063,0.929,7.280,7650,255,NaN,NaN,100,7650,1,803,369,105.945,6.000,1.072,0.932,0.857
15,33,255,0,255,255,255,522.288,385.439,522.288,385.439,22.142,519,382,6,8,6.979,6.021,104.180,0.846,8.544,8415,255,NaN,NaN,100,8415,1,521,382,110.556,6.000,1.159,0.863,0.846
